file_path,label
/content/CREMA-D/Anger/1001_MTI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1076_IWL_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1077_TAI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1010_IWW_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1036_IOM_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1068_DFA_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1070_IEO_ANG_HI.flv,Anger
/content/CREMA-D/Anger/1011_IEO_ANG_HI.flv,Anger
/content/CREMA-D/Anger/1024_IEO_ANG_MD.flv,Anger
/content/CREMA-D/Anger/1075_ITS_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1064_TSI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1082_WSI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1011_IWW_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1074_IOM_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1009_IEO_ANG_MD.flv,Anger
/content/CREMA-D/Anger/1057_TIE_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1025_IWL_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1016_IEO_ANG_LO.flv,Anger
/content/CREMA-D/Anger/1057_TSI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1052_TAI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1055_DFA_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1044_WSI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1001_IOM_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1078_DFA_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1074_ITS_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1006_IWL_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1025_TAI_ANG_XX.flv,Anger
/content/CREMA-D/Anger/1057_IEO_ANG_LO.flv,Anger
/content/CREMA-D/Anger/1020_IEO_ANG_HI.flv,Anger
